risk_score,risk_severity,vuln_id,aliases,component,version,version_confirmed,type,source_layer,ecosystem,min_depth,dependents,cvss_base,cvss_source,depth_weight,fanin_factor,summary,reference
8.3,HIGH,DEBIAN-CVE-2015-8778,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,9.8,cvss-lib(v3),0.85,1.0,Integer overflow in the GNU C Library (aka glibc or libc6) before 2.23 allows context-dependent attackers to cause a denial of service (application crash) or possibly execute arbitrary code via the...,https://security-tracker.debian.org/tracker/CVE-2015-8778
8.3,HIGH,DEBIAN-CVE-2015-8779,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,9.8,cvss-lib(v3),0.85,1.0,Stack-based buffer overflow in the catopen function in the GNU C Library (aka glibc or libc6) before 2.23 allows context-dependent attackers to cause a denial of service (application crash) or poss...,https://security-tracker.debian.org/tracker/CVE-2015-8779
8.3,HIGH,DEBIAN-CVE-2018-11236,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,9.8,cvss-lib(v3),0.85,1.0,"stdlib/canonicalize.c in the GNU C Library (aka glibc or libc6) 2.27 and earlier, when processing very long pathname arguments to the realpath function, could encounter an integer overflow on 32-bi...",https://security-tracker.debian.org/tracker/CVE-2018-11236
8.3,HIGH,DEBIAN-CVE-2018-6485,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,9.8,cvss-lib(v3),0.85,1.0,An integer overflow in the implementation of the posix_memalign in memalign functions in the GNU C Library (aka glibc or libc6) 2.26 and earlier could cause these functions to return a pointer to a...,https://security-tracker.debian.org/tracker/CVE-2018-6485
8.3,HIGH,DEBIAN-CVE-2018-6551,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,9.8,cvss-lib(v3),0.85,1.0,"The malloc implementation in the GNU C Library (aka glibc or libc6), from version 2.24 to 2.26 on powerpc, and only in version 2.26 on i386, did not properly handle malloc calls with arguments clos...",https://security-tracker.debian.org/tracker/CVE-2018-6551
8.3,HIGH,DEBIAN-CVE-2019-1010022,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,9.8,cvss-lib(v3),0.85,1.0,GNU Libc current is affected by: Mitigation bypass. The impact is: Attacker may bypass stack guard protection. The component is: nptl. The attack vector is: Exploit stack buffer overflow vulnerabil...,https://security-tracker.debian.org/tracker/CVE-2019-1010022
8.3,HIGH,DEBIAN-CVE-2019-9169,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,9.8,cvss-lib(v3),0.85,1.0,"In the GNU C Library (aka glibc or libc6) through 2.29, proceed_next_node in posix/regexec.c has a heap-based buffer over-read via an attempted case-insensitive regular-expression match.",https://security-tracker.debian.org/tracker/CVE-2019-9169
7.8,HIGH,GHSA-pg7h-5qx3-wjr3,BIT-pytorch-2024-31583;CVE-2024-31583;PYSEC-2024-251,torch,,False,python,python-import,PyPI,1,,7.8,cvss-lib(v3),1.0,1.0,Pytorch use-after-free vulnerability,https://nvd.nist.gov/vuln/detail/CVE-2024-31583
7.8,HIGH,PYSEC-2026-139,BIT-pytorch-2026-4538;CVE-2026-4538,torch,,False,python,python-import,PyPI,1,,7.8,cvss-lib(v3),1.0,1.0,A vulnerability was identified in PyTorch 2.10.0. The affected element is an unknown function of the component pt2 Loading Handler. The manipulation leads to deserialization. The attack can only be...,https://github.com/pytorch/pytorch/
7.7,HIGH,DEBIAN-CVE-2015-8776,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,9.1,cvss-lib(v3),0.85,1.0,The strftime function in the GNU C Library (aka glibc or libc6) before 2.23 allows context-dependent attackers to cause a denial of service (application crash) or possibly obtain sensitive informat...,https://security-tracker.debian.org/tracker/CVE-2015-8776
7.5,HIGH,DEBIAN-CVE-2019-1010023,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,8.8,cvss-lib(v3),0.85,1.0,GNU Libc current is affected by: Re-mapping current loaded library with malicious ELF file. The impact is: In worst case attacker may evaluate privileges. The component is: libld. The attack vector...,https://security-tracker.debian.org/tracker/CVE-2019-1010023
7.5,HIGH,PYSEC-2025-189,BIT-pytorch-2025-2148;CVE-2025-2148;GHSA-c678-jfcj-6jmf,torch,,False,python,python-import,PyPI,1,,7.5,cvss-lib(v3),1.0,1.0,A vulnerability was found in PyTorch 2.6.0+cu124. It has been declared as critical. Affected by this vulnerability is the function torch.ops.profiler._call_end_callbacks_on_jit_fut of the component...,https://vuldb.com/?id.299059
7.5,HIGH,PYSEC-2025-203,BIT-pytorch-2025-55551;CVE-2025-55551,torch,,False,python,python-import,PyPI,1,,7.5,cvss-lib(v3),1.0,1.0,An issue in the component torch.linalg.lu of pytorch v2.8.0 allows attackers to cause a Denial of Service (DoS) when performing a slice operation.,https://gist.github.com/shaoyuyoung/0e7d2a586297ae9c8ed14d8706749efc
7.5,HIGH,PYSEC-2025-204,BIT-pytorch-2025-55552;CVE-2025-55552,torch,,False,python,python-import,PyPI,1,,7.5,cvss-lib(v3),1.0,1.0,pytorch v2.8.0 was discovered to display unexpected behavior when the components torch.rot90 and torch.randn_like are used together.,https://gist.github.com/shaoyuyoung/0e7d2a586297ae9c8ed14d8706749efc
7.5,HIGH,PYSEC-2025-205,BIT-pytorch-2025-55553;CVE-2025-55553,torch,,False,python,python-import,PyPI,1,,7.5,cvss-lib(v3),1.0,1.0,A syntax error in the component proxy_tensor.py of pytorch v2.7.0 allows attackers to cause a Denial of Service (DoS).,https://gist.github.com/shaoyuyoung/0e7d2a586297ae9c8ed14d8706749efc
7.5,HIGH,PYSEC-2025-207,BIT-pytorch-2025-55557;CVE-2025-55557,torch,,False,python,python-import,PyPI,1,,7.5,cvss-lib(v3),1.0,1.0,"A Name Error occurs in pytorch v2.7.0 when a PyTorch model consists of torch.cummin and is compiled by Inductor, leading to a Denial of Service (DoS).",https://gist.github.com/shaoyuyoung/0e7d2a586297ae9c8ed14d8706749efc
7.5,HIGH,PYSEC-2025-208,BIT-pytorch-2025-55558;CVE-2025-55558,torch,,False,python,python-import,PyPI,1,,7.5,cvss-lib(v3),1.0,1.0,"A buffer overflow occurs in pytorch v2.7.0 when a PyTorch model consists of torch.nn.Conv2d, torch.nn.functional.hardshrink, and torch.Tensor.view-torch.mv() and is compiled by Inductor, leading to...",https://gist.github.com/shaoyuyoung/0e7d2a586297ae9c8ed14d8706749efc
7.5,HIGH,PYSEC-2025-209,BIT-pytorch-2025-55560;CVE-2025-55560,torch,,False,python,python-import,PyPI,1,,7.5,cvss-lib(v3),1.0,1.0,An issue in pytorch v2.7.0 can lead to a Denial of Service (DoS) when a PyTorch model consists of torch.Tensor.to_sparse() and torch.Tensor.to_dense() and is compiled by Inductor.,https://gist.github.com/shaoyuyoung/0e7d2a586297ae9c8ed14d8706749efc
7.1,HIGH,DEBIAN-CVE-2016-2856,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,8.4,cvss-lib(v3),0.85,1.0,pt_chown in the glibc package before 2.19-18+deb8u4 on Debian jessie; the elibc package before 2.15-0ubuntu10.14 on Ubuntu 12.04 LTS and before 2.19-0ubuntu6.8 on Ubuntu 14.04 LTS; and the glibc pa...,https://security-tracker.debian.org/tracker/CVE-2016-2856
6.9,MEDIUM,DEBIAN-CVE-2015-7547,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,8.1,cvss-lib(v3),0.85,1.0,Multiple stack-based buffer overflows in the (1) send_dg and (2) send_vc functions in the libresolv library in the GNU C Library (aka glibc or libc6) before 2.23 allow remote attackers to cause a d...,https://security-tracker.debian.org/tracker/CVE-2015-7547
6.9,MEDIUM,DEBIAN-CVE-2015-8982,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,8.1,cvss-lib(v3),0.85,1.0,Integer overflow in the strxfrm function in the GNU C Library (aka glibc or libc6) before 2.21 allows context-dependent attackers to cause a denial of service (crash) or possibly execute arbitrary ...,https://security-tracker.debian.org/tracker/CVE-2015-8982
6.9,MEDIUM,DEBIAN-CVE-2015-8983,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,8.1,cvss-lib(v3),0.85,1.0,Integer overflow in the _IO_wstr_overflow function in libio/wstrops.c in the GNU C Library (aka glibc or libc6) before 2.22 allows context-dependent attackers to cause a denial of service (applicat...,https://security-tracker.debian.org/tracker/CVE-2015-8983
6.6,MEDIUM,DEBIAN-CVE-2018-1000001,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,7.8,cvss-lib(v3),0.85,1.0,In glibc 2.26 and earlier there is confusion in the usage of getcwd() by realpath() which can be used to write before the destination buffer leading to a buffer underflow and potential code execution.,https://security-tracker.debian.org/tracker/CVE-2018-1000001
6.6,MEDIUM,DEBIAN-CVE-2018-11237,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,7.8,cvss-lib(v3),0.85,1.0,"An AVX-512-optimized implementation of the mempcpy function in the GNU C Library (aka glibc or libc6) 2.27 and earlier may write data beyond the target buffer, leading to a buffer overflow in __mem...",https://security-tracker.debian.org/tracker/CVE-2018-11237
6.6,MEDIUM,DEBIAN-CVE-2019-6488,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,7.8,cvss-lib(v3),0.85,1.0,"The string component in the GNU C Library (aka glibc or libc6) through 2.28, when running on the x32 architecture, incorrectly attempts to use a 64-bit register for size_t in assembly codes, which ...",https://security-tracker.debian.org/tracker/CVE-2019-6488
6.4,MEDIUM,DEBIAN-CVE-2009-5155,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,7.5,cvss-lib(v3),0.85,1.0,"In the GNU C Library (aka glibc or libc6) before 2.28, parse_reg_exp in posix/regcomp.c misparses alternatives, which allows attackers to cause a denial of service (assertion failure and applicatio...",https://security-tracker.debian.org/tracker/CVE-2009-5155
6.4,MEDIUM,DEBIAN-CVE-2015-5180,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,7.5,cvss-lib(v3),0.85,1.0,res_query in libresolv in glibc before 2.25 allows remote attackers to cause a denial of service (NULL pointer dereference and process crash).,https://security-tracker.debian.org/tracker/CVE-2015-5180
6.4,MEDIUM,DEBIAN-CVE-2016-1234,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,7.5,cvss-lib(v3),0.85,1.0,"Stack-based buffer overflow in the glob implementation in GNU C Library (aka glibc) before 2.24, when GLOB_ALTDIRFUNC is used, allows context-dependent attackers to cause a denial of service (crash...",https://security-tracker.debian.org/tracker/CVE-2016-1234
6.4,MEDIUM,DEBIAN-CVE-2016-3075,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,7.5,cvss-lib(v3),0.85,1.0,Stack-based buffer overflow in the nss_dns implementation of the getnetbyname function in GNU C Library (aka glibc) before 2.24 allows context-dependent attackers to cause a denial of service (stac...,https://security-tracker.debian.org/tracker/CVE-2016-3075
6.4,MEDIUM,DEBIAN-CVE-2016-3706,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,7.5,cvss-lib(v3),0.85,1.0,Stack-based buffer overflow in the getaddrinfo function in sysdeps/posix/getaddrinfo.c in the GNU C Library (aka glibc or libc6) allows remote attackers to cause a denial of service (crash) via vec...,https://security-tracker.debian.org/tracker/CVE-2016-3706
6.4,MEDIUM,DEBIAN-CVE-2016-5417,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,7.5,cvss-lib(v3),0.85,1.0,Memory leak in the __res_vinit function in the IPv6 name server management code in libresolv in GNU C Library (aka glibc or libc6) before 2.24 allows remote attackers to cause a denial of service (...,https://security-tracker.debian.org/tracker/CVE-2016-5417
6.4,MEDIUM,DEBIAN-CVE-2016-6323,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,7.5,cvss-lib(v3),0.85,1.0,"The makecontext function in the GNU C Library (aka glibc or libc6) before 2.25 creates execution contexts incompatible with the unwinder on ARM EABI (32-bit) platforms, which might allow context-de...",https://security-tracker.debian.org/tracker/CVE-2016-6323
6.4,MEDIUM,DEBIAN-CVE-2018-19591,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,7.5,cvss-lib(v3),0.85,1.0,"In the GNU C Library (aka glibc or libc6) through 2.28, attempting to resolve a crafted hostname via getaddrinfo() leads to the allocation of a socket descriptor that is not closed. This is related...",https://security-tracker.debian.org/tracker/CVE-2018-19591
6.4,MEDIUM,DEBIAN-CVE-2018-20796,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,7.5,cvss-lib(v3),0.85,1.0,"In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(\227|)(\\1\\1|t1|\\\2537)+' in grep.",https://security-tracker.debian.org/tracker/CVE-2018-20796
6.4,MEDIUM,DEBIAN-CVE-2019-9192,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,7.5,cvss-lib(v3),0.85,1.0,"In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(|)(\\1\\1)*' in grep, a different issue than ...",https://security-tracker.debian.org/tracker/CVE-2019-9192
5.5,MEDIUM,PYSEC-2025-191,BIT-pytorch-2025-2953;CVE-2025-2953;GHSA-3749-ghw9-m3mg,torch,,False,python,python-import,PyPI,1,,5.5,cvss-lib(v3),1.0,1.0,"A vulnerability, which was classified as problematic, has been found in PyTorch 2.6.0+cu124. Affected by this issue is the function torch.mkldnn_max_pool2d. The manipulation leads to denial of serv...",https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models
5.5,MEDIUM,PYSEC-2025-196,BIT-pytorch-2025-3121;CVE-2025-3121,torch,,False,python,python-import,PyPI,1,,5.5,cvss-lib(v3),1.0,1.0,A vulnerability classified as problematic has been found in PyTorch 2.6.0. Affected is the function torch.jit.jit_module_from_flatbuffer. The manipulation leads to memory corruption. Local access i...,https://vuldb.com/?id.303012
5.3,MEDIUM,DEBIAN-CVE-2011-5320,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,6.2,cvss-lib(v3),0.85,1.0,scanf and related functions in glibc before 2.15 allow local users to cause a denial of service (segmentation fault) via a large string of 0s.,https://security-tracker.debian.org/tracker/CVE-2011-5320
5.3,MEDIUM,PYSEC-2025-198,BIT-pytorch-2025-46148;CVE-2025-46148,torch,,False,python,python-import,PyPI,1,,5.3,cvss-lib(v3),1.0,1.0,"In PyTorch through 2.6.0, when eager is used, nn.PairwiseDistance(p=2) produces incorrect results.",https://gist.github.com/shaoyuyoung/4bcefba4004f8271e64b5185c95a248a
5.3,MEDIUM,PYSEC-2025-199,BIT-pytorch-2025-46149;CVE-2025-46149,torch,,False,python,python-import,PyPI,1,,5.3,cvss-lib(v3),1.0,1.0,"In PyTorch before 2.7.0, when inductor is used, nn.Fold has an assertion error.",https://gist.github.com/shaoyuyoung/4bcefba4004f8271e64b5185c95a248a
5.3,MEDIUM,PYSEC-2025-200,BIT-pytorch-2025-46150;CVE-2025-46150,torch,,False,python,python-import,PyPI,1,,5.3,cvss-lib(v3),1.0,1.0,"In PyTorch before 2.7.0, when torch.compile is used, FractionalMaxPool2d has inconsistent results.",https://gist.github.com/shaoyuyoung/4bcefba4004f8271e64b5185c95a248a
5.3,MEDIUM,PYSEC-2025-201,BIT-pytorch-2025-46152;CVE-2025-46152,torch,,False,python,python-import,PyPI,1,,5.3,cvss-lib(v3),1.0,1.0,"In PyTorch before 2.7.0, bitwise_right_shift produces incorrect output for certain out-of-bounds values of the ""other"" argument.",https://gist.github.com/shaoyuyoung/4bcefba4004f8271e64b5185c95a248a
5.3,MEDIUM,PYSEC-2025-202,BIT-pytorch-2025-46153;CVE-2025-46153,torch,,False,python,python-import,PyPI,1,,5.3,cvss-lib(v3),1.0,1.0,"PyTorch before 3.7.0 has a bernoulli_p decompose function in decompositions.py even though it lacks full consistency with the eager CPU implementation, negatively affecting nn.Dropout1d, nn.Dropout...",https://github.com/pytorch/pytorch/compare/v2.6.0...v2.7.0
5.3,MEDIUM,PYSEC-2025-206,BIT-pytorch-2025-55554;CVE-2025-55554,torch,,False,python,python-import,PyPI,1,,5.3,cvss-lib(v3),1.0,1.0,pytorch v2.8.0 was discovered to contain an integer overflow in the component torch.nan_to_num-.long().,https://gist.github.com/shaoyuyoung/0e7d2a586297ae9c8ed14d8706749efc
5.0,MEDIUM,DEBIAN-CVE-2015-8984,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,5.9,cvss-lib(v3),0.85,1.0,"The fnmatch function in the GNU C Library (aka glibc or libc6) before 2.22 might allow context-dependent attackers to cause a denial of service (application crash) via a malformed pattern, which tr...",https://security-tracker.debian.org/tracker/CVE-2015-8984
5.0,MEDIUM,DEBIAN-CVE-2015-8985,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,5.9,cvss-lib(v3),0.85,1.0,The pop_fail_stack function in the GNU C Library (aka glibc or libc6) allows context-dependent attackers to cause a denial of service (assertion failure and application crash) via vectors related t...,https://security-tracker.debian.org/tracker/CVE-2015-8985
5.0,MEDIUM,DEBIAN-CVE-2016-10228,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,5.9,cvss-lib(v3),0.85,1.0,"The iconv program in the GNU C Library (aka glibc or libc6) 2.31 and earlier, when invoked with multiple suffixes in the destination encoding (TRANSLATE or IGNORE) along with the -c option, enters ...",https://security-tracker.debian.org/tracker/CVE-2016-10228
5.0,MEDIUM,DEBIAN-CVE-2016-4429,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,5.9,cvss-lib(v3),0.85,1.0,Stack-based buffer overflow in the clntudp_call function in sunrpc/clnt_udp.c in the GNU C Library (aka glibc or libc6) allows remote servers to cause a denial of service (crash) or possibly unspec...,https://security-tracker.debian.org/tracker/CVE-2016-4429
5.0,MEDIUM,DEBIAN-CVE-2019-25013,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,5.9,cvss-lib(v3),0.85,1.0,"The iconv feature in the GNU C Library (aka glibc or libc6) through 2.32, when processing invalid multi-byte input sequences in the EUC-KR encoding, may have a buffer over-read.",https://security-tracker.debian.org/tracker/CVE-2019-25013
5.0,MEDIUM,PYSEC-2022-43015,BIT-pytorch-2022-45907;CVE-2022-45907;GHSA-47fc-vmwq-366v,torch,,False,python,python-import,PyPI,1,,5.0,unknown,1.0,1.0,"In PyTorch before trunk/89695, torch.jit.annotations.parse_type_line can cause arbitrary code execution because eval is used unsafely.",https://github.com/pytorch/pytorch/commit/767f6aa49fe20a2766b9843d01e3b7f7793df6a3
5.0,MEDIUM,PYSEC-2024-250,BIT-pytorch-2024-31584;CVE-2024-31584,torch,,False,python,python-import,PyPI,1,,5.0,unknown,1.0,1.0,Pytorch before v2.2.0 has an Out-of-bounds Read vulnerability via the component torch/csrc/jit/mobile/flatbuffer_loader.cpp.,https://github.com/pytorch/pytorch/commit/7c35874ad664e74c8e4252d67521f3986eadb0e6
5.0,MEDIUM,PYSEC-2024-251,BIT-pytorch-2024-31583;CVE-2024-31583;GHSA-pg7h-5qx3-wjr3,torch,,False,python,python-import,PyPI,1,,5.0,unknown,1.0,1.0,Pytorch before version v2.2.0 was discovered to contain a use-after-free vulnerability in torch/csrc/jit/mobile/interpreter.cpp.,https://github.com/pytorch/pytorch/commit/9c7071b0e324f9fb68ab881283d6b8d388a4bcd2
5.0,MEDIUM,PYSEC-2024-252,BIT-pytorch-2024-31580;CVE-2024-31580;GHSA-5pcm-hx3q-hm94,torch,,False,python,python-import,PyPI,1,,5.0,unknown,1.0,1.0,PyTorch before v2.2.0 was discovered to contain a heap buffer overflow vulnerability in the component /runtime/vararg_functions.cpp. This vulnerability allows attackers to cause a Denial of Service...,https://github.com/pytorch/pytorch/commit/b5c3a17c2c207ebefcb85043f0cf94be9b2fef81
4.8,MEDIUM,GHSA-887c-mr87-cxwp,BIT-pytorch-2025-3730;CVE-2025-3730,torch,,False,python,python-import,PyPI,1,,4.8,cvss-lib(v4),1.0,1.0,PyTorch Improper Resource Shutdown or Release vulnerability,https://nvd.nist.gov/vuln/detail/CVE-2025-3730
4.8,MEDIUM,GHSA-f4hp-rmr7-r7v8,BIT-pytorch-2025-2998;CVE-2025-2998;PYSEC-2025-192,torch,,False,python,python-import,PyPI,1,,4.8,cvss-lib(v4),1.0,1.0,PyTorch is Vulnerable to Memory Consumption through pad_packed_sequence Function,https://nvd.nist.gov/vuln/detail/CVE-2025-2998
4.8,MEDIUM,GHSA-vgrw-7cvw-pwgx,BIT-pytorch-2025-2999;CVE-2025-2999;PYSEC-2025-193,torch,,False,python,python-import,PyPI,1,,4.8,cvss-lib(v4),1.0,1.0,PyTorch is vulnerable to memory corruption through its unpack_sequence function,https://nvd.nist.gov/vuln/detail/CVE-2025-2999
4.8,MEDIUM,PYSEC-2025-192,BIT-pytorch-2025-2998;CVE-2025-2998;GHSA-f4hp-rmr7-r7v8,torch,,False,python,python-import,PyPI,1,,4.8,cvss-lib(v4),1.0,1.0,A vulnerability was found in PyTorch 2.6.0. It has been declared as critical. Affected by this vulnerability is the function torch.nn.utils.rnn.pad_packed_sequence. The manipulation leads to memory...,https://vuldb.com/?id.302047
4.8,MEDIUM,PYSEC-2025-193,BIT-pytorch-2025-2999;CVE-2025-2999;GHSA-vgrw-7cvw-pwgx,torch,,False,python,python-import,PyPI,1,,4.8,cvss-lib(v4),1.0,1.0,A vulnerability was found in PyTorch 2.6.0. It has been rated as critical. Affected by this issue is the function torch.nn.utils.rnn.unpack_sequence. The manipulation leads to memory corruption. At...,https://vuldb.com/?id.302048
4.8,MEDIUM,PYSEC-2025-194,BIT-pytorch-2025-3000;CVE-2025-3000;GHSA-rrmf-rvhw-rf47,torch,,False,python,python-import,PyPI,1,,4.8,cvss-lib(v4),1.0,1.0,A vulnerability classified as critical has been found in PyTorch 2.6.0. This affects the function torch.jit.script. The manipulation leads to memory corruption. It is possible to launch the attack ...,https://vuldb.com/?id.302049
4.8,MEDIUM,PYSEC-2025-195,BIT-pytorch-2025-3001;CVE-2025-3001;GHSA-qfhq-4f3w-5fph,torch,,False,python,python-import,PyPI,1,,4.8,cvss-lib(v4),1.0,1.0,A vulnerability classified as critical was found in PyTorch 2.6.0. This vulnerability affects the function torch.lstm_cell. The manipulation leads to memory corruption. The attack needs to be appro...,https://vuldb.com/?id.302050
4.8,MEDIUM,PYSEC-2025-197,BIT-pytorch-2025-3136;CVE-2025-3136,torch,,False,python,python-import,PyPI,1,,4.8,cvss-lib(v4),1.0,1.0,"A vulnerability, which was classified as problematic, has been found in PyTorch 2.6.0. This issue affects the function torch.cuda.memory.caching_allocator_delete of the file c10/cuda/CUDACachingAll...",https://vuldb.com/?id.303041
4.7,MEDIUM,DEBIAN-CVE-2006-7254,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,5.5,cvss-lib(v3),0.85,1.0,"The nscd daemon in the GNU C Library (glibc) before version 2.5 does not close incoming client sockets if they cannot be handled by the daemon, allowing local users to carry out a denial of service...",https://security-tracker.debian.org/tracker/CVE-2006-7254
4.7,MEDIUM,DEBIAN-CVE-2015-20109,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,5.5,cvss-lib(v3),0.85,1.0,"end_pattern (called from internal_fnmatch) in the GNU C Library (aka glibc or libc6) before 2.22 might allow context-dependent attackers to cause a denial of service (application crash), as demonst...",https://security-tracker.debian.org/tracker/CVE-2015-20109
4.7,MEDIUM,DEBIAN-CVE-2015-8777,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,5.5,cvss-lib(v3),0.85,1.0,The process_envvars function in elf/rtld.c in the GNU C Library (aka glibc or libc6) before 2.23 allows local users to bypass a pointer-guarding protection mechanism via a zero value of the LD_POIN...,https://security-tracker.debian.org/tracker/CVE-2015-8777
